Country_Code,Country,Year,Production,Land,Labor,N,P,K,Pesticides,fert,lnprod,lnland,lnlabor,lnN,lnP,lnK,lnpest,lnfert
11,Georgia,2016,997,2394000,810823,51000,5360,2406,1481,58766,7,15,14,11,9,8,7,11
11,Georgia,2017,911,2384800,818584,39700,4373,2537,1738,46610,7,15,14,11,8,8,7,11
11,Georgia,2018,1035,2371800,801859,41400,3643,2862,2237,47905,7,15,14,11,8,8,8,11
12,India,1990,173781,181413000,,7565500,3124500,1328000,75000,12018000,12,19,,16,15,14,11,16
12,India,1991,177281,181586000,191543978,8046272,3321213,1360600,72133,12728085,12,19,19,16,15,14,11,16
12,India,1992,182394,181305000,195436439,8426735,2843774,883900,70791,12154409,12,19,19,16,15,14,11,16
12,India,1993,189811,181382000,199473006,8778871,2669300,937100,66388,12385271,12,19,19,16,15,14,11,16
12,India,1994,196728,181291000,204107796,9507169,2931700,1124800,61357,13563669,12,19,19,16,15,14,11,16
12,India,1995,200648,180945000,207745639,9822852,2897533,1155850,61257,13876235,12,19,19,16,15,14,11,16
12,India,1996,208134,180589000,211590122,10315919,2978978,1043144,56114,14338041,12,19,19,16,15,14,11,16
12,India,1997,213638,180981000,213981118,10901899,3913600,1372487,52279,16187986,12,19,19,16,15,14,11,17
12,India,1998,216724,180874000,217411058,11353755,4112200,1331549,49157,16797504,12,19,19,16,15,14,11,17
12,India,1999,226816,181021000,220302011,11586250,4796250,1674230,46195,18056730,12,19,19,16,15,14,11,17
12,India,2000,224962,180975000,223289645,10920200,4214600,1567500,44958,16702300,12,19,19,16,15,14,11,17
12,India,2001,232406,180487000,227495265,11310175,4365119,1669017,43720,17344312,12,19,19,16,15,14,11,17
12,India,2002,213630,180560000,230800333,10469210,4029134,1597647,42483,16095991,12,19,19,16,15,14,11,17
12,India,2003,236823,180249000,234722682,11077861,4131912,1597439,41245,16807212,12,19,19,16,15,14,11,17
12,India,2004,235169,180375000,234503409,11712729,4633145,2060796,35113,18406670,12,19,19,16,15,15,10,17
12,India,2005,248027,180126000,237386152,12723910,5209967,2413504,35342,20347380,12,19,19,16,15,15,10,17
12,India,2006,261133,179906000,235515115,13760868,5550200,2331051,37423,21642120,12,19,19,16,16,15,11,17
12,India,2007,282124,179620000,231842887,14417665,5518072,2635371,27423,22571108,13,19,19,16,16,15,10,17
12,India,2008,287417,179757000,227341008,14863815,6051820,3312802,14485,24228436,13,19,19,17,16,15,10,17
12,India,2009,282994,180068000,227311166,15558372,7249010,3638144,28707,26445526,13,19,19,17,16,15,10,17
12,India,2010,306522,179573000,224297213,16450653,8195773,3463818,40094,28110244,13,19,19,17,16,15,11,17
12,India,2011,325041,179670000,213567336,17367540,8409634,2596512,55540,28373686,13,19,19,17,16,15,11,17
12,India,2012,332120,179642000,205303589,16820900,6653400,2061800,52980,25536100,13,19,19,17,16,15,11,17
12,India,2013,346706,179698000,204459109,16750100,5633500,2098900,45620,24482500,13,19,19,17,16,15,11,17
12,India,2014,355914,179721000,204267604,16949600,6098900,2532900,60280,25581400,13,19,19,17,16,15,11,17
12,India,2015,349774,179674000,205458439,17372300,6978800,2401500,56120,26752600,13,19,19,17,16,15,11,17
12,India,2016,364818,179674000,204969723,16735400,6705400,2508300,50410,25949100,13,19,19,17,16,15,11,17
12,India,2017,384469,179674000,201764715,16958000,6854100,2778800,52750,26590900,13,19,19,17,16,15,11,17
12,India,2018,395969,179674000,200025467,17628200,6967900,2779100,58160,27375200,13,19,19,17,16,15,11,17
13,Indonesia,1990,61411,45083000,40559333,1609900,580900,310000,2432,2500800,11,18,18,14,13,13,8,15
13,Indonesia,1991,62085,41524000,40010662,1551700,577700,270700,3259,2400100,11,18,18,14,13,13,8,15
13,Indonesia,1992,66843,41351000,42277420,1697000,593000,293000,825,2583000,11,18,18,14,13,13,7,15
13,Indonesia,1993,67799,42016000,39912326,1557900,539700,219400,1597,2317000,11,18,18,14,13,12,7,15
13,Indonesia,1994,68296,41971000,37254099,1649000,518000,300000,1597,2467000,11,18,17,14,13,13,7,15
13,Indonesia,1995,74367,42978000,36279517,1844000,385200,300000,1597,2529200,11,18,17,14,13,13,7,15
13,Indonesia,1996,77319,42968000,37099809,2084000,331900,300000,1597,2715900,11,18,17,15,13,13,7,15
13,Indonesia,1997,73627,43527000,35531979,1706600,280000,241000,1597,2227600,11,18,17,14,13,12,7,15
13,Indonesia,1998,73242,43877000,39915384,2120900,361800,245000,1597,2727700,11,18,18,15,13,12,7,15
13,Indonesia,1999,74940,45877000,39365825,1925500,324000,275000,1597,2524500,11,18,17,14,13,13,7,15
13,Indonesia,2000,76977,47177000,41920481,1964400,263100,266000,1597,2493500,11,18,18,14,12,12,7,15
13,Indonesia,2001,77815,47700000,40685927,1953480,284828,400000,1597,2638308,11,18,18,14,13,13,7,15
13,Indonesia,2002,81982,48181000,40910842,1974661,254669,259892,1597,2489222,11,18,18,14,12,12,7,15
13,Indonesia,2003,87279,51006000,43159678,2119780,526620,291747,1597,2938147,11,18,18,15,13,13,7,15
13,Indonesia,2004,91310,53366000,40832212,2309142,318134,609135,1597,3236411,11,18,18,15,13,13,7,15
13,Indonesia,2005,92777,51846000,41067670,2411944,327794,564174,1597,3303912,11,18,18,15,13,13,7,15
13,Indonesia,2006,96418,51500000,40252806,2435520,354076,607750,1597,3397346,11,18,18,15,13,13,7,15
13,Indonesia,2007,98704,53000000,41339785,2503269,358040,1130750,1597,3992059,11,18,18,15,13,14,7,15
13,Indonesia,2008,103736,54000000,42460356,2700006,358040,1130750,1597,4188796,12,18,18,15,13,14,7,15
13,Indonesia,2009,109274,55600000,42948003,2935774,507286,843636,1597,4286696,12,18,18,15,13,14,7,15
13,Indonesia,2010,111582,55600000,42708680,2784573,499220,1000000,1597,4283793,12,18,18,15,13,14,7,15
13,Indonesia,2011,113140,56500000,41576649,2933822,579015,1150000,1597,4662837,12,18,18,15,13,14,7,15
